catId,catName
238290,Other Building Equipment Contractors
238390,Other Building Finishing Contractors
444190,Other Building Material Dealers
561439,Other Business Service Centers (including Copy Shops)
424690,Other Chemical and Allied Products Merchant Wholesalers
212393,Other Chemical and Fertilizer Mineral Mining
448190,Other Clothing Stores
532490,Other Commercial and Industrial Machinery and Equipment Rental and Leasing
333319,Other Commercial and Service Industry Machinery Manufacturing
423440,Other Commercial Equipment Merchant Wholesalers
323119,Other Commercial Printing
335929,Other Communication and Energy Wire Manufacturing
334290,Other Communications Equipment Manufacturing
624229,Other Community Housing Services
334119,Other Computer Peripheral Equipment Manufacturing
541519,Other Computer Related Services
327390,Other Concrete Product Manufacturing
423390,Other Construction Material Merchant Wholesalers
212319,Other Crushed and Broken Stone Mining and Quarrying
522190,Other Depository Credit Intermediation
524128,"Other Direct Insurance (except Life, Health, and Medical) Carriers"
454390,Other Direct Selling Establishments
221119,Other Electric Power Generation
811219,Other Electronic and Precision Equipment Repair and Maintenance
334419,Other Electronic Component Manufacturing
423690,Other Electronic Parts and Equipment Merchant Wholesalers
333618,Other Engine Equipment Manufacturing
332618,Other Fabricated Wire Product Manufacturing
424590,Other Farm Product Raw Material Merchant Wholesalers
525990,Other Financial Vehicles
111419,Other Food Crops Grown Under Cover
316219,Other Footwear Manufacturing
238190,"Other Foundation, Structure, and Building Exterior Contractors"
454319,Other Fuel Dealers
713290,Other Gambling Industries
447190,Other Gasoline Stations
921190,Other General Government Support
813219,Other Grantmaking and Giving Services
424490,Other Grocery and Related Products Merchant Wholesalers
336419,Other Guided Missile and Space Vehicle Parts and Auxiliary Equipment Manufacturing
237990,Other Heavy and Civil Engineering Construction
315119,Other Hosiery and Sock Mills
314129,Other Household Textile Product Mills
624190,Other Individual and Family Services
525190,Other Insurance Funds
922190,"Other Justice, Public Order, and Safety Activities"
313249,Other Knit Fabric and Lace Mills
335129,Other Lighting Equipment Manufacturing
335228,Other Major Household Appliance Manufacturing
541618,Other Management Consulting Services
114119,Other Marine Fishing
334519,Other Measuring and Controlling Device Manufacturing
332439,Other Metal Container Manufacturing
332919,Other Metal Valve and Pipe Fitting Manufacturing
333518,Other Metalworking Machinery Manufacturing
321918,Other Millwork (including Flooring)
423990,Other Miscellaneous Durable Goods Merchant Wholesalers
424990,Other Miscellaneous Nondurable Goods Merchant Wholesalers
512199,Other Motion Picture and Video Industries
336322,Other Motor Vehicle Electrical and Electronic Equipment Manufacturing
111339,Other Noncitrus Fruit Farming
331528,Other Nonferrous Foundries (except Die-Casting)
562219,Other Nonhazardous Waste Treatment and Disposal
481219,Other Nonscheduled Air Transportation
311223,Other Oilseed Processing
332995,Other Ordnance and Accessories Manufacturing
711190,Other Performing Arts Companies
811490,Other Personal and Household Goods Repair and Maintenance
812199,Other Personal Care Services
112390,Other Poultry Production
327212,Other Pressed and Blown Glass and Glassware Manufacturing
423490,Other Professional Equipment and Supplies Merchant Wholesalers
623990,Other Residential Care Facilities
541690,Other Scientific and Technical Consulting Services
541890,Other Services Related to Advertising
561790,Other Services to Buildings and Dwellings
813990,"Other Similar Organizations (except Business, Professional, Labor, and Political Organizations)"
311919,Other Snack Food Manufacturing
813319,Other Social Advocacy Organizations
512290,Other Sound Recording Industries
541490,Other Specialized Design Services
711219,Other Spectator Sports
327123,Other Structural Clay Product Manufacturing
488190,Other Support Activities for Air Transportation
488490,Other Support Activities for Road Transportation
488390,Other Support Activities for Water Transportation
611519,Other Technical and Trade Schools
312229,Other Tobacco Product Manufacturing
485119,Other Urban Transit Systems
111219,Other Vegetable (except Potato) and Melon Farming
493190,Other Warehousing and Storage
562119,Other Waste Collection
444210,Outdoor Power Equipment Stores
315191,Outerwear Knitting Mills
621420,Outpatient Mental Health and Substance Abuse Centers
333923,"Overhead Traveling Crane, Hoist, and Monorail System Manufacturing"
424420,Packaged Frozen Food Merchant Wholesalers
561910,Packaging and Labeling Services
333993,Packaging Machinery Manufacturing
488991,Packing and Crating
325510,Paint and Coating Manufacturing
444120,Paint and Wallpaper Stores
424950,"Paint, Varnish, and Supplies Merchant Wholesalers"
238320,Painting and Wall Covering Contractors
322121,Paper (except Newsprint) Mills
333291,Paper Industry Machinery Manufacturing
322130,Paperboard Mills
812930,Parking Lots and Garages
922150,Parole Offices and Probation Offices
532112,Passenger Car Leasing
532111,Passenger Car Rental
541214,Payroll Services
111992,Peanut Farming
339941,Pen and Mechanical Pencil Manufacturing
525110,Pension Funds
511120,Periodical Publishers
311991,Perishable Prepared Food Manufacturing
316993,Personal Leather Good (except Women's Handbag and Purse) Manufacturing
325320,Pesticide and Other Agricultural Chemical Manufacturing
453910,Pet and Pet Supplies Stores
812910,Pet Care (except Veterinary) Services
325110,Petrochemical Manufacturing
424720,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals)
424710,Petroleum Bulk Stations and Terminals
324191,Petroleum Lubricating Oil and Grease Manufacturing
324110,Petroleum Refineries
325412,Pharmaceutical Preparation Manufacturing
446110,Pharmacies and Drug Stores
212392,Phosphate Rock Mining
325312,Phosphatic Fertilizer Manufacturing
812921,Photofinishing Laboratories (except One-Hour)
333315,Photographic and Photocopying Equipment Manufacturing
423410,Photographic Equipment and Supplies Merchant Wholesalers
325992,"Photographic Film, Paper, Plate, and Chemical Manufacturing"
541921,"Photography Studios, Portrait"
424310,"Piece Goods, Notions, and Other Dry Goods Merchant Wholesalers"
486110,Pipeline Transportation of Crude Oil
486210,Pipeline Transportation of Natural Gas
486910,Pipeline Transportation of Refined Petroleum Products
333220,Plastics and Rubber Industry Machinery Manufacturing
326111,Plastics Bag and Pouch Manufacturing
326160,Plastics Bottle Manufacturing
325211,Plastics Material and Resin Manufacturing
424610,Plastics Materials and Basic Forms and Shapes Merchant Wholesalers
326112,Plastics Packaging Film and Sheet (including Laminated) Manufacturing
326122,Plastics Pipe and Pipe Fitting Manufacturing
326191,Plastics Plumbing Fixture Manufacturing
332313,Plate Work Manufacturing
423720,Plumbing and Heating Equipment and Supplies (Hydronics) Merchant Wholesalers
332913,Plumbing Fixture Fitting and Trim Manufacturing
238220,"Plumbing, Heating, and Air-Conditioning Contractors"
922120,Police Protection
325612,Polish and Other Sanitation Good Manufacturing
813940,Political Organizations
326140,Polystyrene Foam Product Manufacturing
327113,Porcelain Electrical Supply Manufacturing
488310,Port and Harbor Operations
523920,Portfolio Management
491110,Postal Service
115114,Postharvest Crop Activities (except Cotton Ginning)
212391,"Potash, Soda, and Borate Mineral Mining"
111211,Potato Farming
424440,Poultry and Poultry Product Merchant Wholesalers
112340,Poultry Hatcheries
311615,Poultry Processing
238110,Poured Concrete Foundation and Structure Contractors
332117,Powder Metallurgy Part Manufacturing
237130,Power and Communication Line and Related Structures Construction
332410,Power Boiler and Heat Exchanger Manufacturing
335311,"Power, Distribution, and Specialty Transformer Manufacturing"
333991,Power-Driven Handtool Manufacturing
332721,Precision Turned Product Manufacturing
332311,Prefabricated Metal Building and Component Manufacturing
321992,Prefabricated Wood Building Manufacturing
323122,Prepress Services
334612,"Prerecorded Compact Disc (except Software), Tape, and Record Reproducing"
451220,"Prerecorded Tape, Compact Disc, and Record Stores"
331312,Primary Aluminum Production
335912,Primary Battery Manufacturing
331411,Primary Smelting and Refining of Copper
331419,Primary Smelting and Refining of Nonferrous Metal (except Copper and Aluminum)
334418,Printed Circuit Assembly (Electronic Assembly) Manufacturing
424110,Printing and Writing Paper Merchant Wholesalers
325910,Printing Ink Manufacturing
333293,Printing Machinery and Equipment Manufacturing
814110,Private Households
561431,Private Mail Centers
541614,"Process, Physical Distribution, and Logistics Consulting Services"
611430,Professional and Management Development Training
561330,Professional Employer Organizations
813920,Professional Organizations
711310,"Promoters of Performing Arts, Sports, and Similar Events with Facilities"
711320,"Promoters of Performing Arts, Sports, and Similar Events without Facilities"
622210,Psychiatric and Substance Abuse Hospitals
921130,Public Finance Activities
541820,Public Relations Agencies
322110,Pulp Mills
333911,Pump and Pumping Equipment Manufacturing
323114,Quick Printing
711212,Racetracks
334220,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing
515111,Radio Networks
515112,Radio Stations
443112,"Radio, Television, and Other Electronics Stores"
336510,Railroad Rolling Stock Manufacturing
327320,Ready-Mix Concrete Manufacturing
522292,Real Estate Credit
321219,Reconstituted Wood Product Manufacturing
512210,Record Production
721214,Recreational and Vacation Camps (except Campgrounds)
532292,Recreational Goods Rental
441210,Recreational Vehicle Dealers
423930,Recyclable Material Merchant Wholesalers
493120,Refrigerated Warehousing and Storage
423740,Refrigeration Equipment and Supplies Merchant Wholesalers
926130,"Regulation and Administration of Communications, Electric, Gas, and Other Utilities"
926120,Regulation and Administration of Transportation Programs
926140,Regulation of Agricultural Marketing and Commodities
926150,"Regulation, Licensing, and Inspection of Miscellaneous Commercial Sectors"
524130,Reinsurance Carriers
335314,Relay and Industrial Control Manufacturing
813110,Religious Organizations
562910,Remediation Services
311613,Rendering and Meat Byproduct Processing
561491,Repossession Services
541712,"Reseach and Development in the Physical, Engineering, and Life Sciences (except Biotechnology)"
541711,Research and Development in Biotechnology
541720,Research and Development in the Social Sciences and Humanities
335121,Residential Electric Lighting Fixture Manufacturing
623220,Residential Mental Health and Substance Abuse Facilities
623210,Residential Mental Retardation Facilities
531311,Residential Property Managers
236118,Residential Remodelers
326192,Resilient Floor Covering Manufacturing
311811,Retail Bakeries
811420,Reupholstery and Furniture Repair
111160,Rice Farming
311212,Rice Milling
311911,Roasted Nuts and Peanut Butter Manufacturing
331221,Rolled Steel Shape Manufacturing
333516,Rolling Mill Machinery and Equipment Manufacturing
238160,Roofing Contractors
423330,"Roofing, Siding, and Insulation Material Merchant Wholesalers"
721310,Rooming and Boarding Houses
314991,"Rope, Cordage, and Twine Mills"
316211,Rubber and Plastics Footwear Manufacturing
326220,Rubber and Plastics Hoses and Belting Manufacturing
326291,Rubber Product Manufacturing for Mechanical Use
721211,RV (Recreational Vehicle) Parks and Campgrounds
522220,Sales Financing
322291,Sanitary Paper Product Manufacturing
517410,Satellite Telecommunications
522120,Savings Institutions
332213,Saw Blade and Handsaw Manufacturing
333210,Sawmill and Woodworking Machinery Manufacturing
321113,Sawmills
333997,Scale and Balance Manufacturing
487110,"Scenic and Sightseeing Transportation, Land"
487990,"Scenic and Sightseeing Transportation, Other"
487210,"Scenic and Sightseeing Transportation, Water"
481112,Scheduled Freight Air Transportation
481111,Scheduled Passenger Air Transportation
313222,Schiffli Machine Embroidery
485410,School and Employee Bus Transportation
311711,Seafood Canning
334511,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufactur"
522294,Secondary Market Financing
331314,Secondary Smelting and Alloying of Aluminum
331423,"Secondary Smelting, Refining, and Alloying of Copper"
331492,"Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum)"
523210,Securities and Commodity Exchanges
523120,Securities Brokerage
561612,Security Guards and Patrol Services
561621,Security Systems Services (except Locksmiths)
334413,Semiconductor and Related Device Manufacturing
333295,Semiconductor Machinery Manufacturing
562991,Septic Tank and Related Services
423850,Service Establishment Equipment and Supplies Merchant Wholesalers
624120,Services for the Elderly and Persons with Disabilities
322213,Setup Paperboard Box Manufacturing
221320,Sewage Treatment Facilities
451130,"Sewing, Needlework, and Piece Goods Stores"
112410,Sheep Farming
315111,Sheer Hosiery Mills
332322,Sheet Metal Work Manufacturing
112512,Shellfish Farming
114112,Shellfish Fishing
336611,Ship Building and Repairing
448210,Shoe Stores
482112,Short Line Railroads
337215,"Showcase, Partition, Shelving, and Locker Manufacturing"
238170,Siding Contractors
339950,Sign Manufacturing
212222,Silver Ore Mining
339912,Silverware and Hollowware Manufacturing
238910,Site Preparation Contractors
713920,Skiing Facilities
332992,Small Arms Ammunition Manufacturing
332994,Small Arms Manufacturing
722213,Snack and Nonalcoholic Beverage Bars
325611,Soap and Other Detergent Manufacturing
312111,Soft Drink Manufacturing
511210,Software Publishers
334611,Software Reproducing
321212,Softwood Veneer and Plywood Manufacturing
115112,"Soil Preparation, Planting, and Cultivating"
562111,Solid Waste Collection
562213,Solid Waste Combustors and Incinerators
562212,Solid Waste Landfill
512240,Sound Recording Studios
111110,Soybean Farming
311222,Soybean Processing
927110,Space Research and Technology
333514,"Special Die and Tool, Die Set, Jig, and Fixture Manufacturing"
485991,Special Needs Transportation
484220,"Specialized Freight (except Used Goods) Trucking, Local"
484230,"Specialized Freight (except Used Goods) Trucking, Long-Distance"
622310,Specialty (except Psychiatric and Substance Abuse) Hospitals
311422,Specialty Canning
333612,"Speed Changer, Industrial High-Speed Drive, and Gear Manufacturing"
311942,Spice and Extract Manufacturing
339920,Sporting and Athletic Goods Manufacturing
423910,Sporting and Recreational Goods and Supplies Merchant Wholesalers
451110,Sporting Goods Stores
611620,Sports and Recreation Instruction
711211,Sports Teams and Clubs
332611,Spring (Heavy Gauge) Manufacturing
332612,Spring (Light Gauge) Manufacturing
424120,Stationery and Office Supplies Merchant Wholesalers
322233,"Stationery, Tablet, and Related Product Manufacturing"
221330,Steam and Air-Conditioning Supply
331513,Steel Foundries (except Investment)
331512,Steel Investment Foundries
331222,Steel Wire Drawing
335911,Storage Battery Manufacturing
111333,Strawberry Farming
238120,Structural Steel and Precast Concrete Contractors
111991,Sugar Beet Farming
111930,Sugarcane Farming
311311,Sugarcane Mills
445110,Supermarkets and Other Grocery (except Convenience) Stores
115210,Support Activities for Animal Production
213113,Support Activities for Coal Mining
115310,Support Activities for Forestry
213114,Support Activities for Metal Mining
213115,Support Activities for Nonmetallic Minerals (except Fuels)
213112,Support Activities for Oil and Gas Operations
488210,Support Activities for Rail Transportation
325613,Surface Active Agent Manufacturing
322226,Surface-Coated Paperboard Manufacturing
339112,Surgical and Medical Instrument Manufacturing
339113,Surgical Appliance and Supplies Manufacturing
541370,Surveying and Mapping (except Geophysical) Services
335313,Switchgear and Switchboard Apparatus Manufacturing
325132,Synthetic Organic Dye and Pigment Manufacturing
325212,Synthetic Rubber Manufacturing
541213,Tax Preparation Services
485310,Taxi Service
517911,Telecommunications Resellers
561422,Telemarketing Bureaus and Other Contact Centers
561421,Telephone Answering Services
334210,Telephone Apparatus Manufacturing
512191,Teleproduction and Other Postproduction Services
515120,Television Broadcasting
561320,Temporary Help Services
624221,Temporary Shelters
541380,Testing Laboratories
313312,Textile and Fabric Finishing (except Broadwoven Fabric) Mills
314911,Textile Bag Mills
333292,Textile Machinery Manufacturing
711110,Theater Companies and Dinner Theaters
524292,Third Party Administration of Insurance and Pension Funds
313113,Thread Mills
238340,Tile and Terrazzo Contractors
113110,Timber Tract Operations
423130,Tire and Tube Merchant Wholesalers
314992,Tire Cord and Tire Fabric Mills
441320,Tire Dealers
326211,Tire Manufacturing (except Retreading)
326212,Tire Retreading
541191,Title Abstract and Settlement Offices
424940,Tobacco and Tobacco Product Merchant Wholesalers
111910,Tobacco Farming
312210,Tobacco Stemming and Redrying
453991,Tobacco Stores
325620,Toilet Preparation Manufacturing
311830,Tortilla Manufacturing
334514,Totalizing Fluid Meter and Counting Device Manufacturing
561520,Tour Operators
423920,Toy and Hobby Goods and Supplies Merchant Wholesalers
323121,Tradebinding and Related Work
541930,Translation and Interpretation Services
423860,Transportation Equipment and Supplies (except Motor Vehicle) Merchant Wholesalers
561510,Travel Agencies
336214,Travel Trailer and Camper Manufacturing
111335,Tree Nut Farming
336212,Truck Trailer Manufacturing
532120,"Truck, Utility Trailer, and RV (Recreational Vehicle) Rental and Leasing"
321214,Truss Manufacturing
523991,"Trust, Fiduciary, and Custody Activities"
525920,"Trusts, Estates, and Agency Accounts"
333611,Turbine and Turbine Generator Set Units Manufacturing
112330,Turkey Production
322224,Uncoated Paper and Multiwall Bag Manufacturing
315192,Underwear and Nightwear Knitting Mills
326113,Unlaminated Plastics Film and Sheet (except Packaging) Manufacturing
326121,Unlaminated Plastics Profile Shape Manufacturing
337121,Upholstered Household Furniture Manufacturing
212291,Uranium-Radium-Vanadium Ore Mining
326150,Urethane and Other Foam Product (except Polystyrene) Manufacturing
441120,Used Car Dealers
484210,Used Household and Office Goods Moving
453310,Used Merchandise Stores
336321,Vehicular Lighting Equipment Manufacturing
454210,Vending Machine Operators
541940,Veterinary Services
532230,Video Tape and Disc Rental
327111,Vitreous China Plumbing Fixture and China and Earthenware Bathroom Accessories Manufacturing
327112,"Vitreous China, Fine Earthenware, and Other Pottery Product Manufacturing"
624310,Vocational Rehabilitation Services
813212,Voluntary Health Organizations
452910,Warehouse Clubs and Supercenters
423730,Warm Air Heating and Air-Conditioning Equipment and Supplies Merchant Wholesalers
334518,"Watch, Clock, and Part Manufacturing"
237110,Water and Sewer Line and Related Structures Construction
221310,Water Supply and Irrigation Systems
313241,Weft Knit Fabric Mills
333992,Welding and Soldering Equipment Manufacturing
311221,Wet Corn Milling
111140,Wheat Farming
425120,Wholesale Trade Agents and Brokers
442291,Window Treatment Stores
424820,Wine and Distilled Alcoholic Beverage Merchant Wholesalers
312130,Wineries
517110,Wired Telecommunications Carriers
517210,Wireless Telecommunications Carriers (except Satellite)
315232,Women's and Girls' Cut and Sew Blouse and Shirt Manufacturing
315233,Women's and Girls' Cut and Sew Dress Manufacturing
315231,"Women's and Girls' Cut and Sew Lingerie, Loungewear, and Nightwear Manufacturing"
315239,Women's and Girls' Cut and Sew Other Outerwear Manufacturing
315234,"Women's and Girls' Cut and Sew Suit, Coat, Tailored Jacket, and Skirt Manufacturing"
448120,Women's Clothing Stores
316214,Women's Footwear (except Athletic) Manufacturing
316992,Women's Handbag and Purse Manufacturing
424330,"Women's, Children's, and Infants' Clothing and Accessories Merchant Wholesalers"
315212,"Women's, Girls', and Infants' Cut and Sew Apparel Contractors"
321920,Wood Container and Pallet Manufacturing
337110,Wood Kitchen Cabinet and Countertop Manufacturing
337211,Wood Office Furniture Manufacturing
321114,Wood Preservation
337129,"Wood Television, Radio, and Sewing Machine Cabinet Manufacturing"
321911,Wood Window and Door Manufacturing
313111,Yarn Spinning Mills
313112,"Yarn Texturizing, Throwing, and Twisting Mills"
712130,Zoos and Botanical Gardens
